species,birdID,date,time,longitude,latitude
BRPE,Purple,2017-07-22,12:53:58+00,-76.18438,38.08147
BRPE,Purple,2017-08-01,01:13:24+00,-76.22519,38.16472
BRPE,Purple,2017-08-01,02:11:53+00,-76.20372,38.172
BRPE,Purple,2017-07-30,14:21:11+00,-76.17347,38.16071
BRPE,Purple,2017-08-30,11:22:00+00,-76.18645,38.24049
BRPE,Purple,2017-07-27,09:30:28+00,-76.23966,38.30885
BRPE,Purple,2017-07-27,11:04:56+00,-76.46407,38.36566
BRPE,Purple,2017-08-24,01:03:52+00,-76.22106,38.26416
BRPE,Purple,2017-08-09,01:11:52+00,-76.20497,38.19333
BRPE,Purple,2017-07-22,13:46:37+00,-76.20108,38.19891
BRPE,Purple,2017-07-25,16:05:49+00,-76.06406,38.11198
BRPE,Yellow,2017-07-19,09:21:00+00,-76.0889,38.15068
BRPE,Yellow,2017-08-21,15:08:29+00,-76.07611,38.14478
BRPE,Yellow,2017-09-04,11:57:52+00,-76.06992,38.1631
BRPE,Yellow,2017-08-13,19:24:51+00,-76.09346,38.12085
BRPE,Yellow,2017-07-30,12:09:34+00,-76.03548,37.93585
BRPE,Yellow,2017-08-27,22:37:38+00,-76.03782,37.93139
BRPE,Yellow,2017-07-30,12:54:30+00,-76.02172,37.92335
BRPE,Yellow,2017-07-30,10:13:42+00,-76.29884,37.91756
BRPE,Yellow,2017-07-30,11:17:04+00,-76.16811,37.9382
BRPE,Yellow,2017-08-24,20:34:54+00,-76.24542,38.04281
BRPE,Yellow,2017-08-07,11:19:55+00,-76.37229,38.22676
BRPE,Yellow,2017-08-02,13:14:48+00,-76.40476,38.26181
BRPE,Yellow,2017-08-02,13:21:37+00,-76.41092,38.27858
BRPE,Yellow,2017-08-05,15:38:48+00,-76.39542,38.26839
BRPE,Yellow,2017-09-13,18:27:35+00,-76.35076,38.30456
BRPE,Yellow,2017-09-17,07:53:00+00,-76.25469,38.33089
BRPE,Yellow,2017-08-07,09:26:48+00,-76.24875,38.33146
BRPE,Yellow,2017-08-02,10:02:10+00,-76.23856,38.33422
BRPE,Yellow,2017-09-13,20:06:48+00,-76.21192,38.30416
BRPE,Yellow,2017-08-01,01:16:18+00,-76.11064,38.27437
BRPE,Yellow,2017-07-28,23:31:13+00,-76.13292,38.2328
BRPE,Yellow,2017-08-29,11:23:45+00,-75.93049,38.14216
BBPL,7,2017-07-30,10:29:34+00,-150.69733,70.445
BBPL,7,2017-07-21,04:37:03+00,-150.70937,70.45075
BBPL,7,2017-08-01,12:44:33+00,-150.67073,70.44599
BBPL,7,2017-07-21,05:15:39+00,-150.67377,70.45585
BBPL,7,2017-08-01,20:11:39+00,-150.8615,70.45152
BBPL,7,2017-07-28,01:14:25+00,-150.70798,70.36789
BBPL,7,2017-08-17,18:07:27+00,-113.31305,53.86958
BBPL,7,2017-08-17,22:03:19+00,-111.36984,52.27274
BBPL,7,2017-08-18,01:10:19+00,-111.13321,52.25038
BBPL,7,2017-08-27,02:24:53+00,-111.22874,51.63993
BBPL,7,2017-08-22,13:24:50+00,-111.33767,51.65085
BBPL,7,2017-08-29,01:35:20+00,-111.63303,51.13678
BBPL,7,2017-08-29,01:42:10+00,-111.48507,51.01214
BBPL,7,2017-08-29,03:32:42+00,-111.32208,50.13043
BBPL,7,2017-08-31,11:13:51+00,-109.88525,26.99308
BBPL,7,2017-08-31,17:34:05+00,-109.79309,26.98301
BBPL,7,2017-09-02,17:38:27+00,-109.77489,26.96544
BBPL,7,2017-09-02,22:13:37+00,-109.41897,26.53445
BBPL,7,2017-09-18,14:18:41+00,-109.27806,25.77192
BBPL,7,2017-09-12,01:17:59+00,-109.28327,25.77045
